Word,Translation
"a, an (indefinite article A1)",qeyri-müəyyənlik artiklı
abandon (v. B2),tərk etmək
ability (n. A2),bacarıq
able (adj. A2),bacarıqlı
"about (prep., adv. A1)",haqqında
"above (prep., adv. A1)",yuxarıda
abroad (adv. A2),xaricdə
absolute (adj. B2),mütləq
absolutely (adv. B1),tamamilə
"academic (adj. B1, n. B2)",akademik
accept (v. A2),qəbul etmək
acceptable (adj. B2),məqbul
"access (n., v. B1)",giriş
accident (n. A2),"hadisə, qəza"
accommodation (n. B1),yaşayış yeri
accompany (v. B2),müşayiət etmək
according to (prep. A2),-ə görə
"account (n. B1, v. B2)",hesab
accurate (adj. B2),dəqiq
accuse (v. B2),günahlandırmaq
achieve (v. A2),nail olmaq
achievement (n. B1),nailiyyət
acknowledge (v. B2),etiraf etmək
acquire (v. B2),əldə etmək
"across (prep., adv. A1)",qarşı tərəfə
"act (v. A2, n. B1)",hərəkət etmək
action (n. A1),hərəkət
active (adj. A2),aktiv
activity (n. A1),fəaliyyət
actor (n. A1),aktyor
actress (n. A1),aktrisa
actual (adj. B2),faktiki
actually (adv. A2),əslində
ad (n. B1),reklam
adapt (v. B2),uyğunlaşmaq
add (v. A1),əlavə etmək
addition (n. B1),əlavə
additional (adj. B2),əlavə
"address (n. A1, v. B2)",ünvan
administration (n. B2),idarəetmə
admire (v. B1),heyran olmaq
admit (v. B1),etiraf etmək
adopt (v. B2),övladlığa götürmək
"adult (n. A1, adj. A2)","böyük, yetkin"
"advance (n., v., adj. B2)",irəliləyiş
advanced (adj. B1),qabaqcıl
advantage (n. A2),üstünlük
adventure (n. A2),macəra
advertise (v. A2),reklam etmək
advertisement (n. A2),reklam
advertising (n. A2),reklamçılıq
advice (n. A1),məsləhət
advise (v. B1),məsləhət vermək
affair (n. B2),məsələ
affect (v. A2),təsir etmək
afford (v. B1),imkanı çatmaq
afraid (adj. A1),qorxmuş
"after (prep. A1, conj., adv. A2)",sonra
afternoon (n. A1),günorta
afterwards (adv. B2),sonradan
again (adv. A1),yenidən
against (prep. A2),əleyhinə
"age (n. A1, v. B1)",yaş
aged (adj. B1),yaşlı
agency (n. B2),agentlik
agenda (n. B2),gündəlik
agent (n. B1),agent
aggressive (adj. B2),aqressiv
ago (adv. A1),əvvəl
agree (v. A1),razılaşmaq
agreement (n. B1),razılaşma
ah (exclam. A2),ah (nida)
ahead (adv. B1),irəlidə
"aid (n., v. B2)",yardım
"aim (v., n. B1)",məqsəd
air (n. A1),hava
aircraft (n. B2),təyyarə
airline (n. A2),hava yolu
airport (n. A1),hava limanı
"alarm (n. B1, v. B2)",siqnal
album (n. B1),albom
alcohol (n. B1),alkoqol
alcoholic (adj. B1),alkoqollu
alive (adj. A2),sağ
"all (det., pron. A1, adv. A2)","hamı, bütün"
"all right (adj./adv., exclam. A2)",qaydasında
allow (v. A2),icazə vermək
almost (adv. A2),demək olar ki
alone (adj./adv. A2),tək
"along (prep., adv. A2)",boyunca
already (adv. A2),artıq
also (adv. A1),həmçinin
alter (v. B2),dəyişmək
"alternative (n. A2, adj. B1)",alternativ
although (conj. A2),baxmayaraq ki
always (adv. A1),həmişə
amazed (adj. B1),heyrətlənmiş
amazing (adj. A1),heyrətamiz
ambition (n. B1),ehtiras
ambitious (adj. B1),iddialı
among (prep. A2),arasında
"amount (n. A2, v. B2)",miqdar
analyse (v. B1),təhlil etmək
analysis (n. B1),təhlil
ancient (adj. A2),qədim
and (conj. A1),və
anger (n. B2),qəzəb
angle (n. B2),bucaq
angry (adj. A1),əsəbi
animal (n. A1),heyvan
ankle (n. A2),ayaq biləyi
anniversary (n. B2),ildönümü
announce (v. B1),elan etmək
announcement (n. B1),elan
annoy (v. B1),narahat etmək
annoyed (adj. B1),bezmiş
annoying (adj. B1),bezdirici
annual (adj. B2),illik
another (det./pron. A1),digər
"answer (n., v. A1)",cavab
anxious (adj. B2),narahat
"any (det., pron. A1, adv. A2)",hər hansı
anybody (pron. A2),hər kəs
any more (adv. A2),daha
anyone (pron. A1),kimsə
anything (pron. A1),heç nə
anyway (adv. A2),hər halda
"anywhere (adv., pron. A2)",hər hansı bir yer
apart (adv. B1),ayrı
apartment (n. A1),mənzil
apologize (v. B1),üzr istəmək
app (n. A2),tətbiq
apparent (adj. B2),aşkar
apparently (adv. B2),görünür
"appeal (n., v. B2)",müraciət
appear (v. A2),görünmək
appearance (n. A2),görünüş
apple (n. A1),alma
application (n. B1),ərizə/tətbiq
apply (v. A2),müraciət etmək
appointment (n. B1),görüş
appreciate (v. B1),qiymətləndirmək
"approach (n., v. B2)",yanaşma
appropriate (adj. B2),uyğun
approval (n. B2),təsdiq
approve (v. B2),təsdiq etmək
approximately (adv. B1),təxminən
April (n. A1),aprel
architect (n. A2),memar
architecture (n. A2),memarlıq
area (n. A1),ərazi
argue (v. A2),mübahisə etmək
argument (n. A2),mübahisə
arise (v. B2),yaranmaq
arm (n. A1),qol
armed (adj. B2),silahlı
arms (n. B2),silahlar
army (n. A2),ordu
"around (prep., adv. A1)",ətrafında
arrange (v. A2),təşkil etmək
arrangement (n. A2),razılaşma
"arrest (v., n. B1)",həbs etmək
arrival (n. B1),gəliş
arrive (v. A1),çatmaq
art (n. A1),incəsənət
article (n. A1),məqalə
artificial (adj. B2),süni
artist (n. A1),rəssam
artistic (adj. B2),bədii
"as (prep. A1, adv., conj. A2)",kimi
ashamed (adj. B2),utanmış
ask (v. A1),soruşmaq
asleep (adj. A2),yuxulu
aspect (n. B2),aspekt
assess (v. B2),qiymətləndirmək
assessment (n. B2),qiymətləndirmə
assignment (n. B1),tapşırıq
assist (v. B1),kömək etmək
"assistant (n., adj. A2)",köməkçi
associate (v. B2),əlaqələndirmək
associated (adj. B2),əlaqəli
association (n. B2),assosiasiya
assume (v. B2),güman etmək
at (prep. A1),-də
athlete (n. A2),idmançı
atmosphere (n. B1),atmosfer
attach (v. B1),əlavə etmək
"attack (n., v. A2)",hücum
"attempt (n., v. B2)",cəhd
attend (v. A2),iştirak etmək
"attention (n., exclam. A2)",diqqət
attitude (n. B1),münasibət
attract (v. B1),cəlb etmək
attraction (n. B1),cazibə
attractive (adj. A2),cəlbedici
audience (n. A2),tamaşaçı
August (n. A1),avqust
aunt (n. A1),xala/bibi
author (n. A2),müəllif
authority (n. B1),hakimiyyət
autumn (n. A1),payız
available (adj. A2),mövcud
"average (adj., n. A2, v. B1)",orta
avoid (v. A2),qaçınmaq
"award (n. A2, v. B1)",mükafat
aware (adj. B1),xəbərdar
away (adv. A1),uzaqda
awful (adj. A2),dəhşətli
baby (n. A1),körpə
"back (n., adv. A1, adj. A2, v. B2)",arxa
background (n. A2),fon
backwards (adv. B1),geriyə
bacteria (n. B2),bakteriya
bad (adj. A1),pis
badly (adv. A2),pis (zərf)
bag (n. A1),çanta
bake (v. B1),bişirmək
"balance (n., v. B1)",tarazlıq
ball (n. A1),top
"ban (v., n. B1)",qadağan etmək
banana (n. A1),banan
band (n. A1),musiqi qrupu
bank (n. A1),bank
bank (n. B1),çay sahili
"bar (n. A2, v. B2)",bar
barrier (n. B2),maneə
"base (n., v. B1)",baza
baseball (n. A2),beysbol
based (adj. A2),əsaslanan
basic (adj. B1),əsas
basically (adv. B2),əsasən
basis (n. B1),əsas
basketball (n. A2),basketbol
bath (n. A1),çimmək
bathroom (n. A1),vanna otağı
battery (n. B1),batareya
"battle (n. B1, v. B2)",döyüş
"be (v., auxiliary v. A1)",olmaq
beach (n. A1),çimərlik
bean (n. A2),lobya
bear (v. B2),dözmək
bear (n. A2),ayı
"beat (v. A2, n. B2)",döymək
beautiful (adj. A1),gözəl
beauty (n. B1),gözəllik
because (conj. A1),çünki
become (v. A1),olmaq
bed (n. A1),çarpayı
bedroom (n. A1),yataq otağı
bee (n. B1),arı
beef (n. A2),mal əti
beer (n. A1),pivə
